问题类型,category,section,客户常见问法,标准回复模板,备注
人工客服渠道,客服,高频问题,有没有人工客服？有没有客服电话？能转人工吗？,[Name]您好，感谢您的联系。目前暂未开设人工电话服务，如需帮助，欢迎发邮件至 contact@ghadiscovery.com，全球客服团队将在24小时内为您处理。,出现频率最高（约15次），优先设置自动回复
投诉渠道,客服,高频问题,如何投诉？怎么反馈问题？我要投诉,[Name]您好，非常抱歉给您带来不好的体验。请将您的问题和会员号发送至 contact@ghadiscovery.com，我们会认真跟进并尽快回复您。,情绪激动用户需加强语气表示重视
D$未到账,技术bug,高频问题,我的D$没有到账，奖励金什么时候到？,[Name]您好，感谢您的联系。D$一般在退房后48小时内到账。如已超时，请将订单号+会员号发邮件至 contact@ghadiscovery.com，客服将为您核查补录。,生日D$未到账同样适用
会员等级不同步,技术bug,高频问题,小程序显示银卡但英文平台是钛金，两个平台等级不一样,[Name]您好，感谢您的联系。跨平台数据同步可能会有延迟，麻烦您将问题描述和截图发给我们，我们帮您跟进处理。,常见于中文小程序 vs 英文平台
如何预订,客服,高频问题,怎么订酒店？在哪里预订？,[Name]您好，感谢您的咨询。可通过以下方式预订：① GHA探索之旅官网 ② 微信小程序搜索「GHA探索之旅」。如需协助，欢迎告知目的地和日期。,
取消修改订单,客服,高频问题,能帮我取消订单吗，我订错了怎么办，想改退房日期,[Name]您好，感谢您的联系。订单修改/取消需通过GHA全球客服处理，请将订单号+会员号发邮件至 contact@ghadiscovery.com，并注明您的需求。,涉及积分支付的订单更复杂，需说明
早餐权益咨询,会员权益反馈,高频问题,钛金会员哪些酒店有免费早餐？我在XX酒店有早餐吗？,[Name]您好，感谢您的咨询。请查看 GHA探索之旅钛金会员早餐礼遇名录：http://xhslink.com/o/1kuWLLA9ODy,凯宾斯基早餐问题反复出现，需提前说明
凯宾斯基投诉,酒店规则和数据不一致,高频问题,凯宾斯基没有免费早餐太失望了，凯宾斯基有什么用？,[Name]您好，非常理解您的失望。目前凯宾斯基暂未加入GHA早餐权益计划，我们已将您的反馈记录并转达。感谢您的耐心，希望未来能有好消息。,负面情绪高，需先表示理解再解释
D奖励金规则,会员权益反馈,高频问题,1个D$等于多少钱？D$怎么用？奖励金可以抵房费吗？,[Name]您好，感谢您的咨询。1 D$ = 1美元，可在英文平台预订时抵扣房费。,小程序D$使用功能尚未上线
如何注册,需求,高频问题,怎么成为GHA会员？如何注册？,[Name]您好，感谢您的咨询。可在微信小程序搜索「GHA探索之旅」或访问中文官网直接注册，注册后即可开始累积入住记录和DISCOVERY奖励金。,
账号信息修改,客服,高频问题,账号名字填错了，怎么改邮箱？,[Name]您好，感谢您的联系。账号信息修改需通过官方客服处理，请将会员号+需修改的信息发邮件至 contact@ghadiscovery.com，客服会为您更新。,护照名与中文名使用场景不同，可先确认需求
安卓下载App,需求,高频问题,安卓手机怎么下载GHA App？,[Name]您好，感谢您的咨询。目前GHA探索之旅App主要在Apple App Store上架。安卓用户可通过微信小程序使用所有功能，体验一致。,如已有安卓版本需更新此条
中文界面,需求,高频问题,App什么时候有中文？能不能加中文界面？,[Name]您好，感谢您的建议。中文功能目前已在微信小程序和中文官网完整支持，欢迎使用「GHA探索之旅」小程序或访问中文官网 https://ghadiscovery.cn/ 体验。,银联支付同样适用
保级规则,会员权益反馈,高频问题,怎么保持会员级别？保级条件是什么？,[Name]您好，感谢您的咨询。会员保级需在一年内完成对应的住宿达标（入住晚数或消费金额）。三品牌保级需在30晚内覆盖至少3个GHA合作品牌。详细规则可在官网会员页面查看。,
价格比OTA贵,价格优势,高频问题,GHA官网比携程/OTA贵太多了，为什么不打折？,[Name]您好，感谢您的咨询。GHA探索之旅官网及小程序预订除价格外还包含DISCOVERY奖励金、专属会员权益等附加价值。如遇价格差异较大，欢迎告知酒店+日期，我们帮您确认是否有更优惠的会员价格。,不要直接承认更贵，引导关注权益价值
D$使用规则,会员权益反馈,标准回答,如何合理使用D$（DISCOVERY奖励金）？,[Name]您好，请注意，DISCOVERY Dollars（D$）可用于酒店结账时支付符合条件的消费，须由会员本人在离店时结算。DISCOVERY Dollars 仅限符合条件的入住期间使用，无法单独兑换。详情：https://zh.ghadiscovery.com/DISCOVERY-Dollars，条款：https://zh.ghadiscovery.com/terms-conditions,
人工客服渠道（含工作时间）,客服,标准回答,请提供客服电话号码，邮件沟通耗时太久,[Name]您好，目前客服团队仅提供邮件支持（contact@ghadiscovery.com），或可通过网站提交工单（https://zh.ghadiscovery.com/support/create_ticket）。客服将在 24 小时内回复。工作时间（海湾标准时间 UTC+4）：周一至周五 08:00-20:00；周六、周日及公共假期 11:00-20:00。,含工作时间，比高频版本更完整
添加同行宾客,客服,标准回答,作为钛金级别会员，如何添加同伴与我同住？,[Name]您好，如需添加同行宾客，可登录官网或APP，在个人账户的预订页面进行修改。也可直接联系预订的酒店获取协助。如有需要，还可通过邮件（contact@ghadiscovery.com）提供会员编号，客服团队将竭诚为您服务。,
会员共享/赠送,会员权益反馈,标准回答,作为钛金级别会员，如何向亲友赠送或共享会员权益？,[Name]您好，如需查询共享状态相关事宜，请发送邮件至 contact@ghadiscovery.com，并附上会员编号，客服团队将竭诚为您服务。,
网站取消订单失败,客服,标准回答,若无法通过网站取消已订住宿，该如何处理？,[Name]您好，若您预订的是免费取消房价，可直接登录官网或APP，在账户的预订页面进行取消。如需进一步协助，可发送邮件至 contact@ghadiscovery.com，并提供会员编号及预订详情，或直接联系酒店处理。,
信用卡担保失败,技术bug,标准回答,我的信用卡担保用不了，如何解决？,[姓名]感谢您的联系。若信用卡担保未成功，请直接联系预订的酒店，确认预订并提供其他付款方式。确保您的预订通过官方渠道完成：官方网站 www.ghadiscovery.com、酒店官网或酒店前台，并确认是否有48小时预订保障服务。如需进一步协助，欢迎邮件联系客服团队。,
官网无法预订,技术bug,标准回答,官网预订不了怎么办？,[姓名]若您在官方网站预订时遇到困难，建议尝试：GHA探索之旅官方小程序；或酒店官方网站直接预订。如问题仍存在，请直接联系相关酒店或邮件联系我们的客服团队以获取帮助。,
